港台,#genre#
彩虹e台,p8p://crfccs.kingh888.com:16666/60ab271b0008823b0e6079d6366a0d7e.ts
彩虹e台,p5p://crfccs.kingh888.com:16666/60ab271b0008823b0e6079d6366a0d7e
彩虹e台,mitv://ns2.hellotvvod.com:9906/fa9fcb0ade2e4683a489497cda4861db.ts
彩虹e台,p5p://192.240.110.203:16666/60ab271b0008823b0e6079d6366a0d7e
彩虹e台,p5p://fccs.123178.top:9906/60e5c5e4000b60ac0cfa6ba7ff5ef206
香蕉台,rtmp://125.227.196.250:1935/live/BananaStation 
香蕉台,p8p://crfccs.kingh888.com:16666/60ab2769000e40550e61abfe014de5b1.ts
香蕉台,p5p://crfccs.kingh888.com:16666/60ab2769000e40550e61abfe014de5b1
香蕉台,p5p://45.92.126.18:9906/60fd2ddd000096c200edc58716da3240
香蕉台,p5p://fccs.123178.top:9906/60fd2ddd000096c200edc58716da3240
香蕉台,mitv://ns2.hellotvvod.com:9906/bfd038a20bbb4f9d8cba14761e028dfa.ts
香蕉台,p5p://192.240.110.203:16666/60ab2769000e40550e61abfe014de5b1
香蕉台,p2p://860969650:9906/bfd038a20bbb4f9d8cba14761e028dfa
驚艷台,rtmp://125.227.196.250:1935/live/AmazingTaiwan 
驚艷台,p8p://crfccs.kingh888.com:16666/60ab27790005917d0e61e8453f868fd2.ts
驚艷台,p5p://crfccs.kingh888.com:16666/60ab27790005917d0e61e8453f868fd2
驚艷台,p5p://45.92.126.18:9906/60fd2dbc0002e8d300ed4537251ee06d
驚艷台,p5p://fccs.123178.top:9906/60fd2dbc0002e8d300ed4537251ee06d
驚艷台,mitv://ns2.hellotvvod.com:9906/5a83823b245b48089fbeda6d909d1cd8.ts
驚艷台,p5p://192.240.110.203:16666/60ab27790005917d0e61e8453f868fd2
Happy頻道,rtmp://125.227.196.250:1935/live/HAPPY 
Happy頻道,mitv://ns2.hellotvvod.com:9906/9895c01831c643ea816f126483f1242d.ts
Happy頻道,p2p://860969650:9906/9895c01831c643ea816f126483f1242d
HOT頻道,mitv://ns2.hellotvvod.com:9906/c89f06c3593342ff9c3cb59d2542a192.ts
HOT頻道,p5p://crfccs.kingh888.com:16666/60ab27ac000dd0ce0e62b1998dc28571 
HOT頻道,p5p://192.240.110.203:16666/60ab27ac000dd0ce0e62b1998dc28571
HOT頻道,p2p://860969650:9906/c89f06c3593342ff9c3cb59d2542a192
極限電影,rtmp://125.227.196.250:1935/live/JSTAR
極限電影,p8p://crfccs.kingh888.com:16666/60ab2789000ebe270e62291ec8b20e2d.ts
極限電影,p5p://crfccs.kingh888.com:16666/60ab2789000ebe270e62291ec8b20e2d
極限電影,p5p://45.92.126.18:9906/60fd2dff000297b000ee4ada2986dc4f
極限電影,p5p://fccs.123178.top:9906/60fd2dff000297b000ee4ada2986dc4f
